Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      107     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.00     0.00      103     0.00     0.00  __gnu_cxx::__normal_iterator<pRPL::WeightedCellCoord*, std::vector<pRPL::WeightedCellCoord, std::allocator<pRPL::WeightedCellCoord> > >::__normal_iterator(pRPL::WeightedCellCoord* const&)
  0.00      0.00     0.00       96     0.00     0.00  __gnu_cxx::__normal_iterator<std::unique_ptr<spdlog::details::flag_formatter, std::default_delete<spdlog::details::flag_formatter> >*, std::vector<std::unique_ptr<spdlog::details::flag_formatter, std::default_delete<spdlog::details::flag_formatter> >, std::allocator<std::unique_ptr<spdlog::details::flag_formatter, std::default_delete<spdlog::details::flag_formatter> > > > >::base() const
  0.00      0.00     0.00       93     0.00     0.00  std::__cxx11::list<pRPL::Layer, std::allocator<pRPL::Layer> >::end()
  0.00      0.00     0.00       92     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >::count() const
  0.00      0.00     0.00       90     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.00     0.00       90     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.00     0.00       90     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.00     0.00       88     0.00     0.00  __gnu_cxx::__normal_iterator<std::shared_ptr<spdlog::sinks::sink>*, std::vector<std::shared_ptr<spdlog::sinks::sink>, std::allocator<std::shared_ptr<spdlog::sinks::sink> > > >::base() const
  0.00      0.00     0.00       88     0.00     0.00  std::operator&(std::memory_order, std::__memory_order_modifier)
  0.00      0.00     0.00       87     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00       85     0.00     0.00  std::_List_iterator<pRPL::Layer>::operator!=(std::_List_iterator<pRPL::Layer> const&) const
  0.00      0.00     0.00       85     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.00     0.00       84     0.00     0.00  std::_List_iterator<pRPL::Layer>::operator->() const
  0.00      0.00     0.00       82     0.00     0.00  __gnu_cxx::__aligned_membuf<unsigned long>::_M_ptr()
  0.00      0.00     0.00       82     0.00     0.00  __gnu_cxx::__aligned_membuf<unsigned long>::_M_addr()
  0.00      0.00     0.00       82     0.00     0.00  std::_List_node<unsigned long>::_M_valptr()
  0.00      0.00     0.00       81     0.00     0.00  pRPL::Layer::name() const
  0.00      0.00     0.00       80     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, pRPL::Cellspace*>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, pRPL::Cellspace*> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, pRPL::Cellspace*> > >::_S_key(std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, pRPL::Cellspace*> > const*)
  0.00      0.00     0.00       80     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, pRPL::Cellspace*>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, pRPL::Cellspace*> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, pRPL::Cellspace*> > >::_S_value(std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, pRPL::Cellspace*> > const*)
  0.00      0.00     0.00       76     0.00     0.00  pRPL::CellCoord::CellCoord()
  0.00      0.00     0.00       75     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.00     0.00       75     0.00     0.00  std::type_info::name() const
  0.00      0.00     0.00       75     0.00     0.00  pRPL::WeightedCellCoord* std::__addressof<pRPL::WeightedCellCoord>(pRPL::WeightedCellCoord&)
  0.00      0.00     0.00       72     0.00     0.00  __gnu_cxx::__normal_iterator<pRPL::WeightedCellCoord*, std::vector<pRPL::WeightedCellCoord, std::allocator<pRPL::WeightedCellCoord> > >::operator->() const
  0.00      0.00     0.00       71     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, pRPL::Cellspace*>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, pRPL::Cellspace*> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, pRPL::Cellspace*> > >::end()
  0.00      0.00     0.00       71     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.00     0.00       70     0.00     0.00  std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::time_since_epoch() const
  0.00      0.00     0.00       70     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      0.00     0.00       70     0.00     0.00  int* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.00      0.00     0.00       70     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.00     0.00       70     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00      0.00     0.00       70     0.00     0.00  std::enable_if<std::chrono::__is_duration<std::chrono::duration<long, std::ratio<1l, 1l> > >::value, std::chrono::duration<long, std::ratio<1l, 1l> > >::type std::chrono::duration_cast<std::chrono::duration<long, std::ratio<1l, 1l> >, long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
  0.00      0.00     0.00       70     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1l> > std::chrono::__duration_cast_impl<std::chrono::duration<long, std::ratio<1l, 1l> >, std::ratio<1l, 1000000000l>, long, true, false>::__cast<long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
  0.00      0.00     0.00       70     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1l> >::duration<long, void>(long const&)
  0.00      0.00     0.00       70     0.00     0.00  int* std::__copy_move_a<true, int*, int*>(int*, int*, int*)
  0.00      0.00     0.00       70     0.00     0.00  int* std::__copy_move_a2<true, int*, int*>(int*, int*, int*)
  0.00      0.00     0.00       70     0.00     0.00  int* std::uninitialized_copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00      0.00     0.00       70     0.00     0.00  int* std::__uninitialized_copy_a<std::move_iterator<int*>, int*, int>(std::move_iterator<int*>, std::move_iterator<int*>, int*, std::allocator<int>&)
  0.00      0.00     0.00       70     0.00     0.00  int* std::__uninitialized_move_if_noexcept_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00      0.00     0.00       70     0.00     0.00  int* std::copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00      0.00     0.00       67     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.00     0.00       67     0.00     0.00  std::allocator<int>::~allocator()
